Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-07-31,Connection,1981,https://boxd.it/1hcwpn,,,,2020-07-29
2020-07-31,Sway,1985,https://boxd.it/1hcwRr,,,,2020-07-29
2020-07-31,For My Crushed Right Eye,1969,https://boxd.it/1hcAnv,,,,2020-07-29
2020-07-31,Relation,1982,https://boxd.it/1hcBgl,,,,2020-07-29
2020-07-31,Ecstasis,1969,https://boxd.it/1hcBrj,,,,2020-07-29
2020-07-31,Araby,2017,https://boxd.it/1hdCcL,4,,itaucultural,2020-07-30
2020-08-02,Azougue Nazareth,2018,https://boxd.it/1hppt9,3.5,,itaucultural,2020-08-01
2020-08-04,Gloria and Grace,2017,https://boxd.it/1hDiNp,1.5,,tv,2020-08-03
"2020-08-04,""Paris, Texas"",1984,https://boxd.it/1hEd6x,5,,off,2020-08-03"
2020-08-05,Roberto Carlos em Ritmo de Aventura,1968,https://boxd.it/1hHyQH,2,,tv,2020-08-04
2020-08-05,Joker,2019,https://boxd.it/1hJxiX,2.5,,tv,2020-08-04
2020-08-07,Adoniran - Meu Nome é João Rubinato,2018,https://boxd.it/1hVG29,4,,tv,2020-08-05
2020-08-16,Divine Love,2019,https://boxd.it/1iTr1Z,1,,off,2020-08-15
2020-08-18,Four Days in September,1997,https://boxd.it/1j4uJ3,4,,tv,2020-08-17
2020-08-18,The Middle of the World,2003,https://boxd.it/1j57rd,2,,tv,2020-08-17
2020-08-20,My Name Is Baghdad,2020,https://boxd.it/1jiSvH,4,,,2020-08-19
2020-08-26,המכנסיים של פושקין,2019,https://boxd.it/1jSu9f,2.5,,,2020-08-20
2020-08-26,Whales Don't Swim,2020,https://boxd.it/1jSC1t,3,,,2020-08-20
2020-08-26,Barbie & Bob,2020,https://boxd.it/1jSIaL,1.5,,,2020-08-20
2020-08-26,Buck,2019,https://boxd.it/1jSVaf,2,,,2020-08-20
2020-08-26,Champ de Mars,2019,https://boxd.it/1jTGyX,3.5,,,2020-08-20
2020-08-26,Different,2019,https://boxd.it/1jUsFx,3,,,2020-08-20
2020-08-26,Lírio Vermelho,2020,https://boxd.it/1jVh9d,1.5,,,2020-08-20
2020-08-22,Greta,2019,https://boxd.it/1jun4J,2,,,2020-08-21
2020-08-26,Veronica,2020,https://boxd.it/1jVRVH,2,,,2020-08-21
2020-08-26,Difícil é Não Brincar,,https://boxd.it/1jVUnN,2.5,,,2020-08-21
2020-08-26,Opera Night Feather,2019,https://boxd.it/1jVVBB,1,,,2020-08-21
2020-08-26,Mi Abuelo Conoce a King Kong,2019,https://boxd.it/1jVVR5,0.5,,,2020-08-21
2020-08-23,Elegy of a Crime,2018,https://boxd.it/1jAHQb,3.5,,,2020-08-22
2020-08-23,Partido Alto,1976,https://boxd.it/1jAQ7T,5,,,2020-08-22
2020-08-26,Rehak,2020,https://boxd.it/1jVW8P,0.5,,,2020-08-22
2020-08-26,Trench,2019,https://boxd.it/1jVWxv,2.5,,,2020-08-22
2020-08-24,Close-Knit,2017,https://boxd.it/1jIJgP,3.5,,,2020-08-23
2020-08-26,El B(eso),2019,https://boxd.it/1jVq4V,2,,,2020-08-23
2020-08-26,El Club,2020,https://boxd.it/1jVuLf,2,,,2020-08-23
2020-08-25,The Silences,2018,https://boxd.it/1jOuDh,4,,,2020-08-24
2020-08-26,The Little Soul,2019,https://boxd.it/1jSwl3,3,,,2020-08-24
2020-08-26,Daniel,2019,https://boxd.it/1jTXVJ,4,,,2020-08-24
2020-08-26,Clear Valley Report,,https://boxd.it/1jU9EF,2,,,2020-08-24
2020-08-26,Weekend,2020,https://boxd.it/1jUDzv,2.5,,,2020-08-24
2020-08-26,Foil Man,2019,https://boxd.it/1jUU3h,0.5,,,2020-08-25
2020-08-26,La Mamita,2020,https://boxd.it/1jV8u7,2.5,,,2020-08-25
2020-08-26,Sonnez Après Minuit,2021,https://boxd.it/1jVaZB,4,,,2020-08-25
2020-08-26,Shunkan,2020,https://boxd.it/1jVxFJ,2,,,2020-08-25
2020-08-26,It Will Get Better,2020,https://boxd.it/1jVF2v,4,,,2020-08-25
2020-08-26,W,2019,https://boxd.it/1jVUc1,5,,,2020-08-25
2020-08-27,Virago,2019,https://boxd.it/1jZuOB,2.5,,,2020-08-26
2020-08-29,Garden City Beautiful,2019,https://boxd.it/1ke4Mp,4.5,,,2020-08-28
2020-08-29,Céu Na Terra,2020,https://boxd.it/1kehRn,1,,,2020-08-28
2020-08-31,Of the Observatory I Saw,2020,https://boxd.it/1ksVnF,1,,,2020-08-30
2020-08-31,Two War Images,2020,https://boxd.it/1kt3AR,0.5,,,2020-08-30
2020-08-31,Pelano!,2019,https://boxd.it/1ktAZv,4,,,2020-08-30
2020-09-04,Where I Grow Old,2016,https://boxd.it/1kPGIz,4,,netflix,2020-09-03
2020-09-04,Lost in Translation,2003,https://boxd.it/1kSMhb,0.5,,primevideo,2020-09-03
2020-09-06,Gone Girl,2014,https://boxd.it/1l4Hqr,1.5,,primevideo,2020-09-05
2020-09-06,Basic Instinct,1992,https://boxd.it/1l6ZTl,0.5,,netflix,2020-09-05
2020-09-09,I'm Thinking of Ending Things,2020,https://boxd.it/1lpxhL,0.5,,netflix,2020-09-08
2020-09-10,The Truman Show,1998,https://boxd.it/1lx8UJ,3,,,2020-09-09
2020-09-11,She's Gotta Have It,1986,https://boxd.it/1lCnEV,3,,netflix,2020-09-10
2020-09-11,Saturday Night Fever,1977,https://boxd.it/1lDTYZ,0.5,,netflix,2020-09-10
2020-09-15,Ele Não,2019,https://boxd.it/1m3mcZ,2,,,2020-09-14
2020-09-15,The Godfather,1972,https://boxd.it/1m4eYj,2.5,,netflix,2020-09-14
2020-09-20,Vou Nadar Até Você,2019,https://boxd.it/1myoaj,0.5,,,2020-09-19
2020-09-23,Um Lugar ao Sul,2018,https://boxd.it/1mR7qd,3.5,,,2020-09-21
2020-09-23,Terra,2019,https://boxd.it/1mR7MD,3,,,2020-09-21
2020-09-23,Demonia: A Melodrama in 3 Acts,2016,https://boxd.it/1mRb4Z,4,,,2020-09-22
2020-09-23,Fire Mouth,2017,https://boxd.it/1mRbqV,4.5,,,2020-09-22
2020-09-23,A Culpa é do Neymar,2015,https://boxd.it/1mRf8h,3,,,2020-09-22
2020-09-24,The Honest Candidate,2014,https://boxd.it/1mY8CD,0.5,,tv,2020-09-23
2020-09-24,The Strong Ones,2019,https://boxd.it/1mYfRP,2.5,,tv,2020-09-23
2020-09-24,The Daytime Doorman,2016,https://boxd.it/1mYEiv,0.5,,,2020-09-24
2020-09-26,Bao,2018,https://boxd.it/1n90Yj,4,,,2020-09-25
2020-09-26,Babel,2006,https://boxd.it/1n9MjN,3.5,,tv,2020-09-26
2020-09-28,Travessia,2017,https://boxd.it/1nokBf,3,,,2020-09-27
2020-09-29,La Maison en Petits Cubes,2008,https://boxd.it/1nr8xr,4,,,2020-09-27
2020-09-30,Party Over,2019,https://boxd.it/1nzCvL,4.5,,off,2020-09-29
2020-09-30,Life in Gray,2017,https://boxd.it/1nzXO5,2.5,,youtube,2020-09-29
2020-10-01,Califórnia,2015,https://boxd.it/1nEP3Z,1,,netflix,2020-09-30
2020-10-04,Don't Call Me Son,2016,https://boxd.it/1nWvS5,1.5,,netflix,2020-10-03
2020-10-05,The Movie of My Life,2017,https://boxd.it/1o4HbX,2,,netflix,2020-10-04
2020-10-05,The Age of Innocence,1993,https://boxd.it/1o922l,4.5,,netflix,2020-10-04
2020-10-06,The Social Dilemma,2020,https://boxd.it/1odKlf,1,,netflix,2020-10-05
2020-10-08,Ângelo,2020,https://boxd.it/1ooMGr,4,,,2020-10-07
2020-10-08,Fifteen,2014,https://boxd.it/1ooWFD,3,,youtube,2020-10-07
2020-10-17,Alice Júnior,2019,https://boxd.it/1pkVuZ,2.5,,netflix,2020-10-16
2020-10-19,Yesterday There Were Strange Things in the Sky,2020,https://boxd.it/1pAZ4D,3,,netflix,2020-10-18
2020-10-27,Paradise Lost,2018,https://boxd.it/1qwo6X,4,,netflix,2020-10-26
2020-11-02,The Asphalt Kiss,2018,https://boxd.it/1rbEbL,4,,tv,2020-11-01
2020-11-02,Ford v Ferrari,2019,https://boxd.it/1rc1Hb,2.5,,tv,2020-11-01
2020-11-25,The Queen's Gambit,2020,https://boxd.it/1twBUt,3.5,,netflix,2020-11-24
2020-11-25,If Anything Happens I Love You,2020,https://boxd.it/1tyPJj,1,,netflix,2020-11-24
2020-12-02,Reflections of a Blender,2010,https://boxd.it/1umw8t,3,,netflix,2020-12-01
2020-12-05,Father’s Chair,2012,https://boxd.it/1uGF7p,1,,netflix,2020-12-04
2020-12-15,The Intruder,2019,https://boxd.it/1vMIvl,0.5,,tv,2020-12-11
2020-12-15,Extremely Loud & Incredibly Close,2011,https://boxd.it/1vMISz,0.5,,tv,2020-12-12
2020-12-15,In Therapy,2009,https://boxd.it/1vN1ur,1,,tv,2020-12-14
2020-12-15,Intervenção,2017,https://boxd.it/1vN5td,0.5,,tv,2020-12-14
2020-12-15,Bohemian Rhapsody,2018,https://boxd.it/1vQvuR,1.5,,tv,2020-12-14
2020-12-17,Emicida: AmarElo - It's All for Yesterday,2020,https://boxd.it/1w3xxf,4,,netflix,2020-12-16
2020-12-23,Trust Me,2014,https://boxd.it/1wLi5X,1,,,2020-12-18
2020-12-23,On the Fringes of São Paulo: Homeless,2004,https://boxd.it/1wM7tV,3,,,2020-12-19
