,Timestamp,Qual é o nome do seu cargo? ,Quanto é seu salário mensal? ,Quantos anos você tem experiência na área?,Qual o regime de trabalho? ,"Como PJ, a empresa te obriga a cumprir um horário especificado por ela? ","Como CLT, você é obrigado a fazer horas além do seu horário? ",O que você faz no seu trabalho,Você é responsável por coordenar pessoas? ,Qual é o tamanho da sua empresa? ,Sua empresa é uma consultoria? ,empresa_codigo,localidade
134,30/05/2023 09:33:26,Analista de testes automotizados pleno,7500.0,2.0,PJ,Sim,,"Testes em todas as fases de entrega, manutenção de casos de testes, criação e atualização de ambientes ",Não,Até 500 funcionários,Sim,80,SP
135,30/05/2023 09:45:34,Sênior software engineer ,32000.0,4.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,106,SP
136,30/05/2023 10:34:08,Desenvolvedor de Software Senior,11669.0,10.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,65,PE
137,30/05/2023 10:34:23,Desenvolvedor Python Pleno,6500.0,2.0,PJ,Sim,,Suporte de sistemas em produção,Não,Até 100 funcionár,Não,27,AL
138,30/05/2023 10:51:07,Soft eng 3,14500.0,8.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 500 funcionários,Não,-1,SC
139,30/05/2023 11:56:37,Engenheiro de software,42000.0,7.0,CLT,,Sim,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Não,-1,SP
140,30/05/2023 12:07:23,Dev front end jr,5100.0,1.0,CLT,,Sim,Desenvolvimento de novos produtos,Não,Até 500 funcionários,Não,-1,SP
141,30/05/2023 12:17:23,Software Engineer,30000.0,10.0,PJ,Sim,,Suporte de sistemas em produção,Não,Até 500 funcionários,Não,-1,CE
142,30/05/2023 12:22:45,Software architect ,13000.0,6.0,CLT,,Não,Desenvolvimento de novos produtos,Sim,Até 1000 funcionários,Não,86,MG
143,30/05/2023 12:40:32,Dev Front End pleno ,11500.0,4.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Não,53,RJ
144,30/05/2023 12:52:21,Desenvolvimento freelance,10000.0,25.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 10 funcionários,Não,11,SP
145,30/05/2023 12:57:18,Senior Frontend Engineer,43000.0,7.0,PJ,Sim,,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Não,62,PB
146,30/05/2023 13:16:05,analista de desenvolvimento jr,4700.0,2.0,CLT,,Não,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Sim,115,SP
147,30/05/2023 13:23:09,Analista de sistemas junior,6750.0,1.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,12,SP
148,30/05/2023 13:29:15,Senior Software Engineer,67000.0,10.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 1000 funcionários,Não,112,SP
149,30/05/2023 13:29:19,Cientista de Dados ,15000.0,4.0,CLT,,Sim,Produtização de Modelos de ML,Não,Mais de 1000 funcionários,Sim,28,SP
150,30/05/2023 13:32:31,DevOps Engineer,22000.0,10.0,PJ,Não,,Suporte de sistemas em produção,Não,Até 500 funcionários,Sim,75,Portugal
151,30/05/2023 13:36:25,Software developer,14000.0,1.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 10 funcionários,Não,-1,SP
152,30/05/2023 13:37:56,Engenheiro de software,13400.0,8.0,CLT,,Não,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Não,117,PE
153,30/05/2023 13:38:30,Senior Software Engineer,16826.0,5.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 500 funcionários,Não,-1,SP
154,30/05/2023 13:39:03,Software Engineer Junior,6100.0,1.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,-1,RS
155,30/05/2023 13:39:07,Desenvolvedor fullstack,1070.0,2.0,CLT,,Não,Suporte de sistemas em produção,Não,Até 100 funcionár,Não,39,SP
156,30/05/2023 13:45:14,Data Engineer,18000.0,3.0,PJ,Sim,,Suporte de sistemas em produção,Não,Até 500 funcionários,Sim,58,SP
157,30/05/2023 13:49:52,Sr Software Engineer ,37500.0,11.0,CLT,,Não,Desenvolvimento de novos produtos,Sim,Mais de 1000 funcionários,Não,104,RS
158,30/05/2023 13:51:29,Senior Software Engineer,40000.0,4.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 500 funcionários,Sim,-1,SC
159,30/05/2023 13:53:21,Desenvolvedor pleno,9000.0,4.0,PJ,Não,,Suporte de sistemas em produção,Sim,Até 500 funcionários,Não,-1,SP
160,30/05/2023 14:02:57,Backend Developer,11000.0,5.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Não,-1,SP
